;;;;;;;;;;;;;;;;;;;;;;;
algorithm;dataset;k;qids;weighted;iterations;eliteFraction;crossoverFraction;productionFraction;mutationProbability;immigrationFraction;immigrationInterval;subpopulationSize;trianglePattern;dualPopulation;timeLimit;stepLimit;limitByOptimalLoss;batchNumber;time;externalUtility;internalUtility;tuningParameter;tuningValue
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;2;6067;0.9000490313023302;0;subpopulationSize;100
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;true;true;300000;2147483647;true;2;8807;0.9000490313023302;0;subpopulationSize;200
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;2;17547;0.8209660559122881;0;eliteFraction;0.2
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.4;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;2;4066;0.8209660559122881;0;eliteFraction;0.4
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.6;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;2;16349;0.8209660559122881;0;eliteFraction;0.6
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.8;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;2;16693;0.8209660559122881;0;eliteFraction;0.8
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.2;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;2;16111;0.8209660559122881;0;crossOverFraction;0.2
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;2;22380;0.8209660559122881;0;crossOverFraction;0.4
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.6;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;2;21820;0.8209660559122881;0;crossOverFraction;0.6
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.8;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;2;21226;0.8209660559122881;0;crossOverFraction;0.8
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.2;0.05;0.2;10;100;true;true;300000;2147483647;true;2;14775;0.8209660559122881;0;productionFraction;0.2
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.4;0.05;0.2;10;100;true;true;300000;2147483647;true;2;17471;0.8209660559122881;0;productionFraction;0.4
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.6;0.05;0.2;10;100;true;true;300000;2147483647;true;2;13723;0.8209660559122881;0;productionFraction;0.6
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;2;18840;0.8209660559122881;0;productionFraction;0.8
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.025;0.2;10;100;true;true;300000;2147483647;true;2;20322;0.8209660559122881;0;mutationProbability;0.025
